epoch,step,train_loss
0,49,-3.7386364936828613
0,99,-0.371364951133728
0,149,3.01326322555542
0,199,5.195108890533447
0,249,8.01213550567627
0,299,8.62392520904541
0,349,12.868884086608887
0,399,5.231304168701172
0,449,5.000382900238037
0,499,4.919761657714844
0,549,4.57813024520874
0,599,3.0987462997436523
0,649,3.3204476833343506
0,699,3.8852381706237793
1,749,3.5857090950012207
1,799,3.574234962463379
1,849,3.9279685020446777
1,899,3.945575714111328
1,949,3.6893234252929688
1,999,3.863892078399658
1,1049,3.99995493888855
1,1099,4.092555999755859
1,1149,4.0605692863464355
1,1199,4.1592302322387695
1,1249,4.106668949127197
1,1299,4.069759845733643
1,1349,4.208094596862793
1,1399,4.2668023109436035
1,1449,4.095475673675537
2,1499,4.281405448913574
2,1549,4.180662631988525
2,1599,4.387543678283691
2,1649,4.33444356918335
2,1699,4.430360317230225
2,1749,4.490802764892578
2,1799,4.345551013946533
2,1849,4.290088653564453
2,1899,4.39193868637085
2,1949,4.389812469482422
2,1999,4.3156938552856445
2,2049,4.340857028961182
2,2099,4.377832412719727
2,2149,4.287018775939941
2,2199,4.377336025238037
3,2249,4.469018936157227
3,2299,4.295848846435547
3,2349,4.344534397125244
3,2399,4.45621395111084
3,2449,4.297023773193359
3,2499,4.348093032836914
3,2549,4.2834062576293945
3,2599,4.205042839050293
3,2649,4.249210357666016
3,2699,4.638625621795654
3,2749,4.199251174926758
3,2799,4.118778705596924
3,2849,4.424943447113037
3,2899,3.9325411319732666
3,2949,3.9724068641662598
4,2999,3.717597723007202
4,3049,4.06692361831665
4,3099,4.01289701461792
4,3149,3.9081783294677734
4,3199,4.0236124992370605
4,3249,3.711043119430542
4,3299,3.964688777923584
4,3349,4.167853832244873
4,3399,3.4476871490478516
4,3449,4.161384105682373
4,3499,3.5318169593811035
4,3549,3.978034019470215
4,3599,4.151102542877197
4,3649,4.059883117675781
5,3699,3.9541337490081787
5,3749,4.140811443328857
5,3799,3.855086326599121
5,3849,3.394986152648926
5,3899,3.4928946495056152
5,3949,3.226365089416504
5,3999,3.3168134689331055
5,4049,3.5295186042785645
5,4099,3.255363702774048
5,4149,3.252993583679199
5,4199,3.4012720584869385
5,4249,3.378256320953369
5,4299,3.482433557510376
5,4349,3.513132333755493
5,4399,3.809774160385132
6,4449,3.9699180126190186
6,4499,3.3527657985687256
6,4549,3.474233627319336
6,4599,3.5373778343200684
6,4649,3.5201003551483154
6,4699,3.7999000549316406
6,4749,3.8359432220458984
6,4799,3.6910903453826904
6,4849,3.3662655353546143
6,4899,3.628389358520508
6,4949,3.386556625366211
6,4999,3.337172269821167
6,5049,3.249199628829956
6,5099,3.639091730117798
6,5149,3.5246474742889404
7,5199,3.4177584648132324
7,5249,3.284268856048584
